City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Lavrentiya,RU,65.58,-171.0,34.52,86,0,7.96,clear sky
332,Marsa Matruh,EG,31.35,27.25,71.6,64,40,10.29,scattered clouds
333,Poco Verde,BR,-10.71,-38.18,69.55,89,13,7.52,few clouds
334,Payakumbuh,ID,-0.22,100.63,74.07,81,99,2.77,overcast clouds
335,Changli,CN,39.7,119.15,57.34,35,100,7.31,overcast clouds
336,Sistranda,NO,63.73,8.83,42.8,70,75,16.11,broken clouds
337,Drexel Heights,US,32.14,-111.03,86.0,17,1,5.82,clear sky
338,Sinazongwe,ZM,-17.26,27.46,77.43,39,0,1.99,clear sky
339,Pisco,PE,-13.7,-76.22,62.6,82,0,14.99,clear sky
340,Banka,IN,24.88,86.92,70.61,67,0,4.81,clear sky
341,Mountain Home,US,43.13,-115.69,48.2,45,90,24.16,overcast clouds
342,Auki,SB,-8.77,160.7,85.71,70,14,4.12,light rain
343,Gamba,GA,-2.65,10.0,76.33,90,100,7.74,light rain
344,Leningradskiy,RU,69.38,178.42,23.95,92,0,9.42,clear sky
345,Eenhana,NA,-17.47,16.33,75.2,22,11,2.24,few clouds
346,Broome,US,42.25,-75.83,44.01,69,90,6.93,overcast clouds
347,Vanimo,PG,-2.67,141.3,83.77,72,65,2.3,light rain
348,Honningsvag,NO,70.98,25.97,38.7,82,100,13.49,overcast clouds
349,Jeremie,HT,18.65,-74.12,80.87,75,100,6.4,overcast clouds
350,Homer,US,59.64,-151.55,51.8,53,1,5.82,clear sky
351,Komsomolsk-Na-Amure,RU,50.55,137.02,42.91,78,100,24.58,overcast clouds
352,Carutapera,BR,-1.2,-46.02,77.32,85,0,6.29,clear sky
353,Vestmannaeyjar,IS,63.44,-20.27,45.27,67,100,25.79,overcast clouds
354,Pacifica,US,37.61,-122.49,61.0,77,20,12.75,few clouds
355,Ancud,CL,-41.87,-73.82,45.0,93,40,5.82,light intensity drizzle
356,Dondo,MZ,-19.61,34.74,69.8,94,75,3.36,broken clouds
357,Santa Ana,US,33.75,-117.87,69.8,60,90,5.82,overcast clouds
358,Oksfjord,NO,70.24,22.35,39.2,80,92,11.41,overcast clouds
359,Lamar,US,33.67,-95.58,53.01,81,40,4.7,scattered clouds
